library	celltype	biorep	protocol	re	crosslinking	biotynilatedBase	ligationVolume	totalReads	totalContacts
HIC001	GM12878	1	tethered in situ	MboI	"1% FA 10min RT"	bio-dCTP	1.2ml	"202095066"	"148358011"
HIC002	GM12878	1	tethered in situ	MboI	"1% FA 10min RT"	bio-dCTP	1.2ml	"413230948"	"232985572"
HIC003	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"486848169"	"393983023"
HIC004	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"160649365"	"130829245"
HIC005	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"304049399"	"247790014"
HIC006	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"153771943"	"126776812"
HIC007	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"182893710"	"148770483"
HIC008	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"212099519"	"162374252"
HIC009	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"117634613"	"94570176"
HIC010	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"55813939"	"46510588"
HIC011	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"55817881"	"45743329"
HIC012	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"194217179"	"144362539"
HIC013	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"84913545"	"60768266"
HIC014	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"309986657"	"221733196"
HIC015	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"174114347"	"99684024"
HIC016	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"186171788"	"98965718"
HIC017	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"155717339"	"126146087"
HIC018	GM12878	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"137165012"	"104128302"
HIC019	GM12878	2	tethered in situ	MboI	"1% FA 10min RT"	bio-dATP	5ml	"314309612"	"226315907"
HIC020	GM12878	3	in situ	MboI	"1% FA 10min RT"	bio-dCTP	1.2ml	"389241982"	"297381123"
HIC021	GM12878	4	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"178301500"	"141557238"
HIC022	GM12878	5	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"348393345"	"255987477"
HIC023	GM12878	5	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"322202135"	"244578144"
HIC024	GM12878	6	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"111656957"	"87513390"
HIC025	GM12878	7	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"347956701"	"280011378"
HIC026	GM12878	7	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"356956797"	"289014860"
HIC027	GM12878	8	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"328197634"	"262162013"
HIC028	GM12878	9	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"74167365"	"58480795"
HIC029	GM12878	9	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"165946030"	"129665039"
HIC030	GM12878	8	agar in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"144634888"	"88286057"
HIC031	GM12878	8	agar in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"139062160"	"80806927"
HIC032	GM12878	8	pellet	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"99388425"	"68852323"
HIC033	GM12878	8	supernatant	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"75258999"	"31198582"
HIC034	GM12878	10	dilution	HindIII	"1% FA 10min RT"	bio-dCTP	8ml	"2965711299"	"1411675270"
HIC035	GM12878	11	dilution	HindIII	"1% FA 10min RT"	bio-dCTP	8ml	"1195923990"	"530928274"
HIC036	GM12878	12	dilution	NcoI	"1% FA 10min RT"	bio-dCTP	8ml	"670863563"	"474631795"
HIC037	GM12878	12	dilution	HindIII	"1% FA 10min RT"	bio-dCTP	8ml	"2179251533"	"854548167"
HIC038	GM12878	33	in situ	DpnII	"1% FA 10min RT"	bio-dATP	1.2ml	"101689129"	"80706254"
HIC039	GM12878	33	in situ	DpnII	"1% FA 10min RT"	bio-dATP	1.2ml	"100551368"	"78636447"
HIC040	GM12878	32	in situ	DpnII	"1% FA 10min RT"	bio-dATP	1.2ml	"125709561"	"94468263"
HIC041	GM12878	32	in situ	DpnII	"1% FA 10min RT"	bio-dATP	1.2ml	"103175323"	"77958951"
HIC042	GM12878	33	in situ	DpnII	"1% FA 10min RT"	bio-dATP	1.2ml	"136425264"	"104465604"
HIC043	GM12878	34	in situ (gentle handling)	MboI	NA	bio-dATP	1.2ml	"130383023"	"83001094"
HIC044	GM12878	35	agar in situ	MboI	NA	bio-dATP	1.2ml	"59372731"	"37813793"
HIC045	GM12878	35	agar in situ	MboI	NA	bio-dATP	1.2ml	"39948679"	"9348332"
HIC046	GM12878	35	agar in situ	MboI	NA	bio-dATP	1.2ml	"65559543"	"46240798"
HIC047	GM12878	35	agar in situ	MboI	NA	bio-dATP	1.2ml	"49794361"	"16371783"
HIC048	GM12878	13	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"97520628"	"81902767"
HIC049	GM12878	14	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"107257628"	"88340582"
HIC050	IMR90 (CCL-186)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"252725458"	"179593204"
HIC051	IMR90 (CCL-186)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"276809208"	"199657173"
HIC052	IMR90 (CCL-186)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"26448232"	"21641031"
HIC053	IMR90 (CCL-186)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"117797690"	"94002885"
HIC054	IMR90 (CCL-186)	1	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"240438944"	"190666855"
HIC055	IMR90 (CCL-186)	2	in situ	MboI	"1% FA 10min RT"	bio-dATP	1.2ml	"289367968"	"213069892"
